"EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	FATALITIES	latlong"
"06/02/2016	2016	1	Violence against civilians	27	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	2	""-3.4158,29.375"""
"06/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	1	""-3.4158,29.375"""
"07/02/2016	2016	1	Violence against civilians	37	Burundi	Bubanza	Gihanga	-3.18750	29.29330	1	0	""-3.1875,29.2933"""
"07/02/2016	2016	2	Violence against civilians	17	Burundi	Ngozi	Ngozi	-2.91140	29.83060	1	1	""-2.9114,29.8306"""
"07/02/2016	2016	1	Battle-No change of territory	13	Burundi	Bururi	Mugamba	-3.68750	29.56110	1	0	""-3.6875,29.5611"""
"08/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	1	""-3.3772,29.358"""
"10/02/2016	2016	2	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	0	""-3.3772,29.358"""
"11/02/2016	2016	1	Strategic development	20	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	3	0	""-3.3772,29.358"""
"11/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Muhuta	-3.62720	29.34720	1	0	""-3.6272,29.3472"""
"12/02/2016	2016	1	Violence against civilians	37	Burundi	Mwaro	Gisozi	-3.54562	29.63166	2	2	""-3.54562,29.63166"""
"13/02/2016	2016	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	0	""-3.3772,29.358"""
"13/02/2016	2016	1	Riots/Protests	60	Burundi	Gitega	Gitega	-3.42250	29.93810	1	0	""-3.4225,29.9381"""
"13/02/2016	2016	1	Riots/Protests	60	Burundi	Ngozi	Ngozi	-2.91140	29.83060	3	0	""-2.9114,29.8306"""
"15/02/2016	2016	3	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	0	""-3.3772,29.358"""
"15/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Muhuta	-3.62720	29.34720	1	0	""-3.6272,29.3472"""
"15/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	1	""-3.3527,29.37"""
"15/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Roherero	-3.37970	29.36500	1	0	""-3.3797,29.365"""
"16/02/2016	2016	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	0	""-3.3772,29.358"""
"17/02/2016	2016	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	0	""-3.3772,29.358"""
"17/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	0	""-3.3527,29.37"""
"21/02/2016	2016	1	Violence against civilians	37	Burundi	Mwaro	Gisozi	-3.54562	29.63166	2	2	""-3.54562,29.63166"""
"22/02/2016	2016	1	Strategic development	30	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	0	""-3.3333,29.3333"""
"22/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	0	""-3.3363,29.3788"""
"22/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Gihosha	-3.35970	29.39360	1	1	""-3.3597,29.3936"""
"22/02/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	1	""-3.4156,29.4075"""
"22/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"22/02/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"22/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	0	""-3.3408,29.3603"""
"22/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	1	""-3.3527,29.37"""
"25/02/2016	2016	1	Strategic development	30	Burundi	Bujumbura Mairie	Jabe	-3.37099	29.37128	1	0	""-3.370986,29.371277"""
"25/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"26/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Muhuta	-3.62720	29.34720	1	0	""-3.6272,29.3472"""
"29/02/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	30	""-3.3408,29.3603"""
"01/03/2016	2016	1	Strategic development	12	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	0	""-3.3363,29.3788"""
"01/03/2016	2016	3	Strategic development	30	Burundi	Kirundo	Busoni	-2.52780	30.21670	2	0	""-2.5278,30.2167"""
"02/03/2016	2016	1	Violence against civilians	37	Burundi	Ngozi	Ngozi	-2.91140	29.83060	1	0	""-2.9114,29.8306"""
"04/03/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	0	""-3.3772,29.358"""
"04/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Gihosha	-3.35970	29.39360	1	0	""-3.3597,29.3936"""
"04/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Kinama	-3.33440	29.37750	1	0	""-3.3344,29.3775"""
"06/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	0	""-3.4156,29.4075"""
"06/03/2016	2016	1	Violence against civilians	37	Burundi	Muramvya	Muramvya	-3.29970	29.56000	1	1	""-3.2997,29.56"""
"08/03/2016	2016	1	Violence against civilians	37	Burundi	Rutana	Musongati	-3.84060	30.03970	1	1	""-3.8406,30.0397"""
"09/03/2016	2016	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	0	""-3.3772,29.358"""
"15/03/2016	2016	1	Violence against civilians	37	Burundi	Bururi	Bururi	-3.95190	29.61630	2	1	""-3.9519,29.6163"""
"15/03/2016	2016	1	Violence against civilians	37	Burundi	Kirundo	Ntega	-2.54330	29.94470	2	1	""-2.5433,29.9447"""
"16/03/2016	2016	1	Strategic development	13	Burundi	Bujumbura Rural	Mubimbi	-3.32750	29.50720	1	0	""-3.3275,29.5072"""
"19/03/2016	2016	2	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	0	""-3.3772,29.358"""
"22/03/2016	2016	1	Battle-No change of territory	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	1	""-3.3772,29.358"""
"22/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	1	""-3.3772,29.358"""
"23/03/2016	2016	2	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	0	""-3.3772,29.358"""
"24/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	0	""-3.3772,29.358"""
"24/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Gihosha	-3.37860	29.39390	1	0	""-3.3786,29.3939"""
"25/03/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"26/03/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.40940	29.38220	1	1	""-3.4094,29.3822"""
"29/03/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Gihosha	-3.32780	29.40330	1	0	""-3.3278,29.4033"""
"30/03/2016	2016	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	1	""-3.3772,29.358"""
"30/03/2016	2016	1	Battle-No change of territory	13	Burundi	Kirundo	Kirundo	-2.58420	30.09720	1	1	""-2.5842,30.0972"""
"02/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"03/04/2016	2016	1	Battle-No change of territory	13	Burundi	Bururi	Burambi	-3.78810	29.42970	1	0	""-3.7881,29.4297"""
"03/04/2016	2016	1	Violence against civilians	37	Burundi	Bururi	Burambi	-3.78810	29.42970	1	2	""-3.7881,29.4297"""
"07/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Gihosha	-3.35970	29.39360	1	1	""-3.3597,29.3936"""
"11/04/2016	2016	1	Battle-No change of territory	13	Burundi	Ruyigi	Gisuru	-3.51390	30.46170	1	0	""-3.5139,30.4617"""
"11/04/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	0	""-3.4158,29.375"""
"11/04/2016	2016	2	Violence against civilians	37	Burundi	Cibitoke	Buganda	-2.96530	29.19295	2	2	""-2.965299,29.192945"""
"11/04/2016	2016	1	Violence against civilians	37	Burundi	Ruyigi	Gisuru	-3.51390	30.46170	1	5	""-3.5139,30.4617"""
