date	YEAR	EVENT_TYPE	ACTOR1	INTER1	ACTOR2	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	geo	lat	latlong
5/3/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale; Agence France Presse	0	25	-3.377225	"-3.377225,29.358"
8/3/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Military Forces of Burundi (2005-)	1	13	Burundi	Ruyigi	Butaganzwa2	Rukoko	-3.5536	30.1108	1	Xinhua General News Service	0	26	-3.553626	"-3.553626,30.1108"
14/03/2015	2015	Violence against civilians	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse	0	27	-3.377227	"-3.377227,29.358"
28/03/2015	2015	Violence against civilians	Ndombolo Militia	3	Civilians (Burundi)	7	37	Burundi	Bubanza	Gihanga	Buringa	-3.2778	29.2803	1	Voix du Burundi	0	28	-3.277828	"-3.277828,29.2803"
1/4/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Kirundo	Kirundo	Kirundo	-2.5842	30.0972	2	The New Times (Kigali); Radio Publique Africaine; Relief Web	0	29	-2.584229	"-2.584229,30.0972"
10/4/2015	2015	Non-violent activity by a conflict actor	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Voix du Burundi	0	30	-3.415830	"-3.415830,29.375"
11/4/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Bubanza	Gihanga	Gihanga	-3.1875	29.2933	1	Voix du Burundi	0	31	-3.187531	"-3.187531,29.2933"
11/4/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Jeune Afrique	0	32	-3.377232	"-3.377232,29.358"
15/04/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Cibitoke	Mugina	Mugina	-2.7556	29.1069	1	Voix du Burundi	0	33	-2.755633	"-2.755633,29.1069"
17/04/2015	2015	Riots/Protests	Police Forces of Burundi (2005-)	1	Rioters (Burundi)	5	15	Burundi	Bujumbura	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse; Xinhua General News Service	0	34	-3.377234	"-3.377234,29.358"
18/04/2015	2015	Non-violent activity by a conflict actor	Government of Burundi (2005-)	1	Protesters (Burundi)	6	16	Burundi	Bujumbura	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse	0	35	-3.377235	"-3.377235,29.358"
18/04/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Voix du Burundi	0	36	-3.377236	"-3.377236,29.358"
19/04/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Kirundo	Kirundo	Kirundo	-2.5842	30.0972	2	The New Times (Kigali); Radio France Internationale	0	37	-2.584237	"-2.584237,30.0972"
21/04/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale; Xinhua General News Service	0	38	-3.377238	"-3.377238,29.358"
26/04/2015	2015	Riots/Protests	Police Forces of Burundi (2005-)	1	Rioters (Burundi)	5	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse	3	39	-3.377239	"-3.377239,29.358"
27/04/2015	2015	Riots/Protests	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Rioters (Burundi)	5	35	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse - English	3	40	-3.377240	"-3.377240,29.358"
27/04/2015	2015	Violence against civilians	Police Forces of Burundi (2005-)	1	Civilians (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English; Agence France Presse	0	41	-3.377241	"-3.377241,29.358"
27/04/2015	2015	Non-violent activity by a conflict actor	Government of Burundi (2005-)	1	Civilians (Rwanda)	7	17	Burundi	Cibitoke	Rugombo	Rugombo	-2.73284	29.04193	1	News of Rwanda	0	42	-2.7328442	"-2.7328442,29.04193"
27/04/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Muyinga	Muyinga	Muyinga	-2.84348	30.3418	1	Radio France Internationale	0	43	-2.8434843	"-2.8434843,30.3418"
28/04/2015	2015	Non-violent activity by a conflict actor	Protesters (Burundi)	6	Interahamwe Militia	3	36	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Xinhua General News Service 	0	44	-3.377244	"-3.377244,29.358"
28/04/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Protesters (Burundi)	6	36	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Isanganiro Radio	0	45	-3.377245	"-3.377245,29.358"
28/04/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Gitega	Gitega	Gitega	-3.4225	29.9381	1	Radio France Internationale	0	46	-3.422546	"-3.422546,29.9381"
29/04/2015	2015	Riots/Protests	Police Forces of Burundi (2005-)	1	Rioters (Burundi)	5	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse	0	47	-3.377247	"-3.377247,29.358"
30/04/2015	2015	Riots/Protests	Police Forces of Burundi (2005-)	1	Rioters (Burundi)	5	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Isanganiro Radio; Associated Press International; Agence France Presse - English; Agence France Presse	1	48	-3.377248	"-3.377248,29.358"
30/04/2015	2015	Violence against civilians	Prison Guards (Burundi)	1	Prisoners (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English	0	49	-3.377249	"-3.377249,29.358"
1/5/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Police Forces of Burundi (2005-)	1	13	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English; Xinhua General News Service	0	50	-3.377250	"-3.377250,29.358"
1/5/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Police Forces of Burundi (2005-)	1	13	Burundi	Bujumbura Mairie	Gihosha	Kamenge	-3.3597	29.3936	1	Agence France Presse - English; Xinhua General News Service	3	51	-3.359751	"-3.359751,29.3936"
1/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse	0	52	-3.377252	"-3.377252,29.358"
1/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bururi	Matana	Matana	-3.7539	29.6683	1	Agence France Presse	0	53	-3.753953	"-3.753953,29.6683"
