ADMIN1,COUNTRY,SF_NAME,ISO3,HAZARD,VULNERABILITY,COPING,RISK,POV,POP,TEST
Meru,Kenya,Meru,KEN,5.94,3.99,6.71,5.42,0.25,1523605,9.00
Migori,Kenya,Migori,KEN,6.45,4.42,6.71,5.76,0.24,1036534,10.00
Mombasa,Kenya,Mombasa,KEN,8.05,3.92,6.71,5.96,0.25,1015254,0.00
Murang'a,Kenya,Murang'a,KEN,5.07,3.36,6.71,4.85,0.13,1082400,1.00
Nairobi,Kenya,Nairobi,KEN,5.66,3.78,6.71,5.24,0.02,3643759,2.00
Nakuru,Kenya,Nakuru,KEN,6.22,4.04,6.71,5.53,0.25,1822458,3.00
Nandi,Kenya,Nandi,KEN,6.43,4.02,6.71,5.58,0.25,854603,4.00
Narok,Kenya,Narok,KEN,6.39,4.00,6.71,5.56,0.25,976438,5.00
Nyamira,Kenya,Nyamira,KEN,4.26,3.85,6.71,4.79,0.24,674896,6.00
Nyandarua,Kenya,Nyandarua,KEN,4.76,3.55,6.71,4.84,0.13,722357,7.00
Nyeri,Kenya,Nyeri,KEN,6.39,3.76,6.71,5.44,0.13,788355,8.00
Samburu,Kenya,Samburu,KEN,6.84,6.06,6.71,6.53,0.25,254835,9.00
Siaya,Kenya,Siaya,KEN,5.57,4.28,6.71,5.43,0.24,969684,10.00
Taita Taveta,Kenya,Taita Taveta,KEN,6.44,5.81,6.71,6.31,0.25,328122,0.00
Tana River,Kenya,Tana River,KEN,6.37,6.20,6.71,6.42,0.25,288425,1.00
Tharaka,Kenya,Tharaka - Nithi,KEN,6.49,4.68,6.71,5.89,0.25,423409,2.00
Trans Nzoia,Kenya,Trans Nzoia,KEN,6.01,4.08,6.71,5.48,0.25,939781,3.00
Turkana,Kenya,Turkana,KEN,7.58,7.18,6.71,7.15,0.25,1009037,4.00
Uasin Gishu,Kenya,Uasin Gishu,KEN,7.35,3.84,6.71,5.74,0.25,1071059,5.00
Vihiga,Kenya,Vihiga,KEN,6.19,4.03,6.71,5.51,0.25,620214,6.00
Wajir,Kenya,Wajir,KEN,6.40,6.76,6.71,6.62,0.52,762141,7.00
West Pokot,Kenya,West Pokot,KEN,7.44,4.78,6.71,6.20,0.25,579962,8.00
Eastern Province(Est ),Rwanda,EST,RWA,1.46,3.95,7.39,3.49,0.38,3014571,9.00
Northern Province(Nord),Rwanda,NORD,RWA,2.67,3.87,7.39,4.24,0.36,2295353,10.00
Western Province(Ouest),Rwanda,OUEST,RWA,2.41,3.97,7.39,4.14,0.37,2689684,9.00
Southern Province(Sud),Rwanda,SUD,RWA,1.46,4.02,7.39,3.51,0.37,2966505,10.00
Kigali Village(Ville De Kigali),Rwanda,VILLE DE KIGALI,RWA,4.00,3.04,7.39,4.48,0.16,1040242,1.00
Awdal,Somalia,Awdal,SOM,6.09,7.36,7.65,7.00,0.39,443058,2.00
Bakool,Somalia,Bakool,SOM,8.19,8.15,7.65,7.99,0.54,305629,3.00
Banadir,Somalia,Banadir,SOM,9.21,8.36,7.65,8.38,0.30,982888,4.00
Bari,Somalia,Bari,SOM,6.32,8.08,7.65,7.31,0.40,483383,5.00
Bay,Somalia,Bay,SOM,8.65,8.01,7.65,8.09,0.54,860784,6.00
Galgaduud,Somalia,Galgaduud,SOM,6.59,7.67,7.65,7.28,0.40,463522,7.00
Gedo,Somalia,Gedo,SOM,8.30,8.09,7.65,8.00,0.54,395699,8.00
Hiraan,Somalia,Hiraan,SOM,8.46,8.18,7.65,8.09,0.54,417480,9.00
Shabelle H,Somalia,Shabelle Hoose,SOM,9.21,8.25,7.65,8.35,0.54,544306,10.00
Juba Hoose,Somalia,Juba Hoose,SOM,9.24,8.09,7.65,8.30,0.54,1134552,1.00
Juba Dhexe,Somalia,Juba Dhexe,SOM,9.19,8.27,7.65,8.35,0.54,361597,2.00
Shabelle D,Somalia,Shabelle Dhexe,SOM,7.96,8.03,7.65,7.88,0.54,761141,3.00
Mudug,Somalia,Mudug,SOM,6.36,7.95,7.65,7.29,0.40,685000,4.00
Nugaal,Somalia,Nugaal,SOM,5.74,7.56,7.65,6.92,0.40,113109,5.00
Sanaag,Somalia,Sanaag,SOM,5.82,7.26,7.65,6.86,0.40,473622,6.00
Sool,Somalia,Sool,SOM,6.53,7.48,7.65,7.20,0.40,196682,7.00
Togdheer,Somalia,Togdheer,SOM,6.40,7.52,7.65,7.17,0.39,596225,8.00
Woqooyi Ga,Somalia,Woqooyi Galbeed,SOM,5.76,7.57,7.65,6.93,0.39,868717,9.00
Central Equatoria,South Sudan,Central Equatoria,SSD,8.73,5.64,8.53,7.49,,1726080,10.00
Eastern Equatoria,South Sudan,Eastern Equatoria,SSD,7.05,5.03,8.53,6.71,,1027077,1.00
Jonglei,South Sudan,Jonglei,SSD,9.01,6.79,8.53,8.05,,1857112,2.00
Lakes,South Sudan,Lakes,SSD,8.87,6.35,8.53,7.83,,784928,3.00
Northern Bahr el Ghazal,South Sudan,Northern Bahr el Ghazal,SSD,7.69,6.20,8.53,7.41,,1122373,4.00
Unity,South Sudan,Unity,SSD,8.98,7.71,8.53,8.39,,812453,5.00
Upper Nile,South Sudan,Upper Nile,SSD,8.76,7.78,8.53,8.35,,1125734,6.00
Warrap,South Sudan,Warrap,SSD,8.54,5.49,8.53,7.37,,1200484,7.00
Western Bahr el Ghazal,South Sudan,Western Bahr el Ghazal,SSD,8.58,5.22,8.53,7.25,,454911,8.00
Western Equatoria,South Sudan,Western Equatoria,SSD,5.30,4.75,8.53,5.99,,860307,9.00
Al Gezira,Sudan,Al Gezira,SDN,5.92,3.62,7.71,5.49,,4397589,10.00
Blue Nile,Sudan,Blue Nile,SDN,8.78,5.22,7.71,7.07,,957090,1.00
Central Darfur,Sudan,Central Darfur,SDN,8.99,6.64,7.71,7.72,,799743,2.00
