date,EVENT_TYPE,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,FATALITIES
15/01/2015,Violence against civilians,Kenya,Nairobi,Nairobi,4
16/01/2015,Violence against civilians,Kenya,Rift Valley,Narok,0
17/01/2015,Riots/Protests,Kenya,Coast,Kilifi,0
18/01/2015,Riots/Protests,Kenya,Rift Valley,Keiyo,0
19/01/2015,Violence against civilians,Kenya,Coast,Mombasa,1
23/01/2015,Riots/Protests,Kenya,Eastern,Marsabit ,0
23/01/2015,Riots/Protests,Kenya,Western,Busia,0
24/01/2015,Riots/Protests,Kenya,Eastern,Marsabit ,0
24/01/2015,Battle-No change of territory,Kenya,Rift Valley,Naivasha,3
25/01/2015,Riots/Protests,Kenya,Eastern,Marsabit ,0
26/01/2015,Riots/Protests,Kenya,Eastern,Marsabit ,0
26/01/2015,Riots/Protests,Kenya,Eastern,Machakos,0
26/01/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
26/01/2015,Violence against civilians,Kenya,Nyanza,Homa Bay,1
26/01/2015,Riots/Protests,Kenya,Rift Valley,Narok ,2
28/01/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
28/01/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
29/01/2015,Riots/Protests,Kenya,North Eastern,Wajir,0
29/01/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
2/2/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
2/2/2015,Riots/Protests,Kenya,Rift Valley,Nandi,0
3/2/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
3/2/2015,Violence against civilians,Kenya,Nyanza,Homa Bay,1
4/2/2015,Violence against civilians,Kenya,Rift Valley,Turkana,4
5/2/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
5/2/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
5/2/2015,Violence against civilians,Kenya,North Eastern,Mandera,0
6/2/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
6/2/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
7/2/2015,Violence against civilians,Kenya,Nairobi,Nairobi,4
7/2/2015,Riots/Protests,Kenya,Rift Valley,Nakuru,0
10/2/2015,Riots/Protests,Kenya,Central,Kiambu,0
13/02/2015,Riots/Protests,Kenya,Central,Kiambu,0
13/02/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
13/02/2015,Battle-No change of territory,Kenya,North Eastern,Wajir,0
14/02/2015,Riots/Protests,Kenya,Eastern,Embu,0
15/02/2015,Violence against civilians,Kenya,Eastern,Tharaka-Nithi,0
15/02/2015,Riots/Protests,Kenya,Rift Valley,Laikipia East,0
18/02/2015,Riots/Protests,Kenya,Rift Valley,Uasin Gishu,0
18/02/2015,Violence against civilians,Kenya,Rift Valley,Uasin Gishu,0
18/02/2015,Violence against civilians,Kenya,Western,Bungoma,1
19/02/2015,Riots/Protests,Kenya,Coast,Taita Taveta,0
19/02/2015,Riots/Protests,Kenya,Rift Valley,Uasin Gishu,0
21/02/2015,Riots/Protests,Kenya,Eastern,Kitui,0
23/02/2015,Riots/Protests,Kenya,Central,Nyandarua,0
23/02/2015,Riots/Protests,Kenya,Eastern,Kitui,0
24/02/2015,Riots/Protests,Kenya,Central,Nyandarua,1
24/02/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
25/02/2015,Riots/Protests,Kenya,Central,Nyandarua ,0
25/02/2015,Violence against civilians,Kenya,North Eastern,Mandera,1
25/02/2015,Riots/Protests,Kenya,Nyanza,Kisii,0
25/02/2015,Battle-No change of territory,Kenya,Rift Valley,Baringo,1
25/02/2015,Riots/Protests,Kenya,Western,Kakamega,0
26/02/2015,Riots/Protests,Kenya,Western,Kakamega,0
27/02/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
1/3/2015,Violence against civilians,Kenya,Eastern,Machakos,3
1/3/2015,Violence against civilians,Kenya,Eastern,Machakos,1
2/3/2015,Riots/Protests,Kenya,Rift Valley,Laikipia,0
2/3/2015,Riots/Protests,Kenya,Western,Busia,0
4/3/2015,Violence against civilians,Kenya,North Eastern,Mandera,0
4/3/2015,Riots/Protests,Kenya,Rift Valley,Elegeyo-Marakwet,0
7/3/2015,Riots/Protests,Kenya,Central,Nyeri,0
7/3/2015,Riots/Protests,Kenya,Eastern,Kitui,0
7/3/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
9/3/2015,Riots/Protests,Kenya,Nyanza,Kisii,0
9/3/2015,Battle-No change of territory,Kenya,Rift Valley,Turkana,1
10/3/2015,Violence against civilians,Kenya,Western,Kakamega,0
11/3/2015,Riots/Protests,Kenya,Rift Valley,West Pokot,0
11/3/2015,Riots/Protests,Kenya,Western,Bungoma,0
12/3/2015,Violence against civilians,Kenya,North Eastern,Wajir,4
13/03/2015,Violence against civilians,Kenya,North Eastern,Mandera,3
15/03/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
15/03/2015,Violence against civilians,Kenya,North Eastern,Mandera,4
17/03/2015,Remote violence,Kenya,North Eastern,Mandera,0
17/03/2015,Violence against civilians,Kenya,North Eastern,Wajir,4
18/03/2015,Violence against civilians,Kenya,Nairobi,Nairobi,1
20/03/2015,Riots/Protests,Kenya,North Eastern,Mandera,0
20/03/2015,Riots/Protests,Kenya,Western,Kakamega,0
21/03/2015,Riots/Protests,Kenya,North Eastern,Mandera,0
21/03/2015,Riots/Protests,Kenya,Western,Vihiga,0
21/03/2015,Violence against civilians,Kenya,Western,Kakamega,1
23/03/2015,Violence against civilians,Kenya,Coast,Kilifi,1
23/03/2015,Riots/Protests,Kenya,North Eastern,Mandera,0
23/03/2015,Riots/Protests,Kenya,Nyanza,Migori,0
23/03/2015,Violence against civilians,Kenya,Nyanza,Migori,1
23/03/2015,Riots/Protests,Kenya,Rift Valley,Nakuru,0
23/03/2015,Riots/Protests,Kenya,Western,Vihiga,0
24/03/2015,Riots/Protests,Kenya,Central,Kiambu,0
25/03/2015,Battle-No change of territory,Kenya,Coast,Mombasa,1
25/03/2015,Riots/Protests,Kenya,Rift Valley,Keiyo,0
25/03/2015,Violence against civilians,Kenya,Western,Bungoma,1
26/03/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
27/03/2015,Riots/Protests,Kenya,Rift Valley,Baringo,0
30/03/2015,Violence against civilians,Kenya,Eastern,Meru,3
30/03/2015,Riots/Protests,Kenya,Rift Valley,Kajiado,0
1/4/2015,Riots/Protests,Kenya,Coast,Kilifi,0
1/4/2015,Violence against civilians,Kenya,North Eastern,Garissa,1
2/4/2015,Battle-No change of territory,Kenya,North Eastern,Garissa,4
2/4/2015,Violence against civilians,Kenya,North Eastern,Garissa,148
4/4/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
4/4/2015,Riots/Protests,Kenya,North Eastern,Garissa,0
5/4/2015,Non-violent activity by a conflict actor,Kenya,Coast,Mombasa,0
5/4/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
7/4/2015,Riots/Protests,Kenya,Coast,Mombasa,0
7/4/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
8/4/2015,Riots/Protests,Kenya,Central,Kiambu,0
8/4/2015,Violence against civilians,Kenya,Central,Kiambu,2
9/4/2015,Riots/Protests,Kenya,Nyanza,Kisii,0
10/4/2015,Violence against civilians,Kenya,Rift Valley,Bomet,0
11/4/2015,Battle-No change of territory,Kenya,Coast,Kwale,2
12/4/2015,Non-violent activity by a conflict actor,Kenya,North Eastern,Mandera,0
13/04/2015,Violence against civilians,Kenya,Rift Valley,Baringo,1
13/04/2015,Violence against civilians,Kenya,Western,Kakamega,2
14/04/2015,Violence against civilians,Kenya,Nyanza,Migori,1
15/04/2015,Riots/Protests,Kenya,Central,Kiambu,0
15/04/2015,Riots/Protests,Kenya,Central,Kiambu,0
16/04/2015,Non-violent activity by a conflict actor,Kenya,North Eastern,Mandera,0
16/04/2015,Riots/Protests,Kenya,Nyanza,Siaya,0
19/04/2015,Riots/Protests,Kenya,Rift Valley,Nandi,0
20/04/2015,Riots/Protests,Kenya,Rift Valley,Narok ,0
23/04/2015,Riots/Protests,Kenya,Central,Nyandarua,0
23/04/2015,Violence against civilians,Kenya,North-Eastern,Mandera,0
24/04/2015,Violence against civilians,Kenya,North Eastern,Mandera,0
26/04/2015,Riots/Protests,Kenya,Central,Nyeri,0
27/04/2015,Riots/Protests,Kenya,Eastern,Tharaka-Nithi,0
28/04/2015,Riots/Protests,Kenya,Coast,Mombasa,0
30/04/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
3/2/2015,Violence against civilians,Rwanda,Rulindo  ,Rulindo,1
7/2/2015,Violence against civilians,Rwanda,Rulindo  ,Rulindo,1
25/02/2015,Violence against civilians,Rwanda,Kigali,Nyarugenge,1
27/02/2015,Non-violent activity by a conflict actor,Rwanda,Kigali,Nyarugenge,0
4/3/2015,Non-violent activity by a conflict actor,Rwanda,Kigali,Nyarugenge,0
9/4/2015,Riots/Protests,Rwanda,Cyangugu,Karengera,0
31/12/2014,Non-violent activity by a conflict actor,Somalia,Bari,Bosaso,0
1/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,0
1/1/2015,Battle-No change of territory,Somalia,Hiiraan,Bulo Burte,1
1/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Kismayo,0
1/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Kismayo,0
2/1/2015,Violence against civilians,Somalia,Bakool,Waajid,1
2/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,0
2/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
2/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,1
2/1/2015,Battle-No change of territory,Somalia,Bay,Baydhabo,6
2/1/2015,Battle-No change of territory,Somalia,Bay,Baydhabo,0
2/1/2015,Riots/Protests,Somalia,Galguduud,Dhuusamareeb,1
2/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Badhaadhe,0
2/1/2015,Remote violence,Somalia,Mudug,Gaalkacayo,1
2/1/2015,Violence against civilians,Somalia,Shabeellaha Hoose,Afgooye,0
3/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,1
3/1/2015,Battle-No change of territory,Somalia,Hiiraan,Bulo Burte ,0
3/1/2015,Non-violent transfer of territory,Somalia,Hiiraan,Bulo Burte ,0
3/1/2015,Violence against civilians,Somalia,Hiiraan,Beledweyne ,1
