YEAR,COUNTRY,PIN,TAR,SECTOR
2013,SSD,435000,409000,SHELTER
2013,DJI,0,0,SHELTER
2013,ETH,0,0,SHELTER
2014,SOM,1100000,495000,SHELTER
2014,SUD,1800000,1200000,SHELTER
2014,SSD,1900000,1000000,SHELTER
2014,DJI,0,0,SHELTER
2014,ETH,0,0,SHELTER
2015,SOM,1100000,467000,SHELTER
2015,SUD,0,0,SHELTER
2015,SSD,0,0,SHELTER
2015,DJI,0,0,SHELTER
2015,KEN,0,0,SHELTER
