EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
21/04/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale; Xinhua General News Service	0	"-3.3772,29.358"
26/04/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse	3	"-3.3772,29.358"
27/04/2015	2015	1	Riots/Protests	15	Burundi	Muyinga	Muyinga	-2.84348	30.34180	1	Radio France Internationale	0	"-2.843475,30.341799"
27/04/2015	2015	1	Riots/Protests	35	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse - English	3	"-3.3772,29.358"
27/04/2015	2015	1	Strategic development	17	Burundi	Cibitoke	Rugombo	-2.73284	29.04193	1	News of Rwanda	0	"-2.732842,29.041929"
27/04/2015	2015	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Agence France Presse	0	"-3.3772,29.358"
28/04/2015	2015	1	Riots/Protests	16	Burundi	Gitega	Gitega	-3.42250	29.93810	1	Radio France Internationale	0	"-3.4225,29.9381"
28/04/2015	2015	1	Strategic development	36	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Xinhua General News Service	0	"-3.3772,29.358"
28/04/2015	2015	1	Violence against civilians	36	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Isanganiro Radio	0	"-3.3772,29.358"
29/04/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse	0	"-3.3772,29.358"
30/04/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Isanganiro Radio; Associated Press International; Agence France Presse - English; Agence France Presse	1	"-3.3772,29.358"
30/04/2015	2015	2	Violence against civilians	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English	0	"-3.3772,29.358"
01/05/2015	2015	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Xinhua General News Service	0	"-3.3772,29.358"
01/05/2015	2015	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Gihosha	-3.35970	29.39360	1	Agence France Presse - English; Xinhua General News Service	3	"-3.3597,29.3936"
01/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse	0	"-3.3772,29.358"
01/05/2015	2015	1	Riots/Protests	15	Burundi	Bururi	Matana	-3.75390	29.66830	1	Agence France Presse	0	"-3.7539,29.6683"
